iter	Passed	Remaining
0	69	3412
1	126	3044
2	177	2775
3	221	2549
4	265	2388
5	304	2235
6	345	2119
7	382	2006
8	420	1917
9	460	1841
10	498	1768
11	534	1692
12	566	1612
13	601	1545
14	635	1482
15	667	1419
16	700	1359
17	733	1304
18	766	1249
19	799	1198
20	830	1146
21	859	1094
22	892	1047
23	924	1001
24	959	959
25	992	915
26	1024	872
27	1057	831
28	1089	789
29	1122	748
30	1153	706
31	1185	666
32	1216	626
33	1246	586
34	1276	547
35	1308	508
36	1338	470
37	1368	432
38	1401	395
39	1433	358
40	1466	321
41	1497	285
42	1531	249
43	1562	213
44	1594	177
45	1627	141
46	1660	105
47	1694	70
48	1727	35
49	1760	0
